URL,FINAL URL,FINAL URL LENGTH,CANONICAL,CANONICAL LENGTH,TITLE,TITLE LENGTH,TITLE STATUS,H1-1,H1-1 LENGTH,H1-1 STATUS,META DESCRIPTION,META DESCRIPTION LENGTH,META DESCRIPTION STATUS,META KEYWORDS,META KEYWORDS LENGTH,H2-1,H2-1 LENGTH,H2-1 STATUS,NUMBER OF IMAGES,NUMBER OF WITH ALT-TAG,NUMBER OF WITHOUT ALT-TAG,ALT-TAG AVERAGE LENGTH,ALT-TAG MAXIMUM LENGTH,ALT-TAG MINIMUM LENGTH,NUMBER OF ALT-TAGS THAT ARE DUPLICATED,CONTENT TYPE,DATE,HTTP/HTTPS,REDIRECT,REDIRECT TYPE,RESPONSE TIME (MS),STATUS,STATUS CODE,DEPTH,FOLDER LEVEL 1,FOLDER LEVEL 2,FOLDER LEVEL 3
https://blackwing.com/wholesale_venison.php,https://blackwing.com/wholesale_venison.php,43.0,None,,Blackwing - Wholesale Venison,29.0,SHORT,Wholesale & Food Service,24.0,,,,,,,Blackwing Venison,17.0,,37.0,3.0,34.0,13.333333333333334,28.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:06 GMT",HTTPS,False,NONE,427.259,OK,200.0,1.0,,,
https://blackwing.com/wholesale_ostrich.php,https://blackwing.com/wholesale_ostrich.php,43.0,None,,Blackwing - Wholesale Ostrich,29.0,SHORT,Wholesale & Food Service,24.0,,,,,,,Blackwing Ostrich Meat,22.0,,39.0,3.0,36.0,13.333333333333334,28.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:09 GMT",HTTPS,False,NONE,527.544,OK,200.0,1.0,,,
https://blackwing.com/wholesale_bison.php,https://blackwing.com/wholesale_bison.php,41.0,None,,Blackwing - Wholesale Bison,27.0,SHORT,Wholesale & Food Service,24.0,,,,,,,Organic Free Range Bison/Buffalo,32.0,,43.0,4.0,39.0,15.75,28.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:14 GMT",HTTPS,False,NONE,658.473,OK,200.0,1.0,,,
https://blackwing.com/wholesale_bison.php#buffalo_retail,https://blackwing.com/wholesale_bison.php#buffalo_retail,56.0,None,,Blackwing - Wholesale Bison,27.0,SHORT,Wholesale & Food Service,24.0,,,,,,,Organic Free Range Bison/Buffalo,32.0,,43.0,4.0,39.0,15.75,28.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:24 GMT",HTTPS,False,NONE,467.192,OK,200.0,1.0,,,
https://blackwing.com/wholesale_beef.php,https://blackwing.com/wholesale_beef.php,40.0,None,,Blackwing - Wholesale Beef,26.0,SHORT,Wholesale & Food Service,24.0,,,,,,,Piedmontese Organic Beef,24.0,,37.0,3.0,34.0,14.0,28.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:12 GMT",HTTPS,False,NONE,45.361,OK,200.0,1.0,,,
https://blackwing.com/wholesale_beef.php#beef_retail,https://blackwing.com/wholesale_beef.php#beef_retail,52.0,None,,Blackwing - Wholesale Beef,26.0,SHORT,Wholesale & Food Service,24.0,,,,,,,Piedmontese Organic Beef,24.0,,37.0,3.0,34.0,13.333333333333334,28.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:18 GMT",HTTPS,False,NONE,561.524,OK,200.0,1.0,,,
https://blackwing.com/beths_kitchen.php,https://blackwing.com/beths_kitchen.php,39.0,None,,Blackwing - Beth's Kitchen,26.0,SHORT,Beth's Kitchen,14.0,,,,,,,Beth Allison Kaplan,19.0,,32.0,2.0,30.0,6.0,12.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:00 GMT",HTTPS,False,NONE,625.844,OK,200.0,1.0,,,
https://blackwing.com/guarantee.php,https://blackwing.com/guarantee.php,35.0,None,,Blackwing - 100% Guarantee,26.0,SHORT,Our Guarantee,13.0,,,,,,,,,,32.0,2.0,30.0,7.5,15.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:09:54 GMT",HTTPS,False,NONE,263.369,OK,200.0,1.0,,,
https://blackwing.com/privacy.php,https://blackwing.com/privacy.php,33.0,None,,Blackwing - Privacy Policy,26.0,SHORT,Privacy & Security Policies,27.0,,,,,,,Privacy,7.0,,30.0,2.0,28.0,6.0,12.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:09:57 GMT",HTTPS,False,NONE,97.653,OK,200.0,1.0,,,
https://blackwing.com/why_organic.php,https://blackwing.com/why_organic.php,37.0,None,,Blackwing - Why Organic,23.0,SHORT,Why Organic,11.0,,,,,,,,,,31.0,2.0,29.0,7.0,14.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:00 GMT",HTTPS,False,NONE,438.397,OK,200.0,1.0,,,
https://blackwing.com/tellafriend.php,https://blackwing.com/tellafriend.php,37.0,None,,Blackwing - TellaFriend,23.0,SHORT,Customer Login or Register,26.0,,,,,,,,,,30.0,2.0,28.0,8.0,16.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:09:52 GMT",HTTPS,False,NONE,424.754,OK,200.0,1.0,,,
https://blackwing.com/contact_us.php,https://blackwing.com/contact_us.php,36.0,None,,Blackwing - Contact Us,22.0,SHORT,,,,,,,,,"Blackwing, Inc.",15.0,,32.0,2.0,30.0,7.0,14.0,0.0,0.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:10:01 GMT",HTTPS,False,NONE,941.926,OK,200.0,1.0,,,
